ImageName,Label,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta1_Lambda1_LocalEnergy,Theta1_Lambda1_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude
3453_original_626a.png_7868df5e-37f1-4c28-bfb4-eb5401cf2458.png,3453,90977,81216,93902,85660,85922,90977,81216,93902,85660,85922,92763,79468,87774,83557,88725,87189,100338,144429,196070,1585363,87143,96043,152775,192779,1583922,6016155,5982376,5954736,5972152,6008044,6016155,5982376,5954736,5972152,6008044,6015315,5979302,5951484,5968713,6006599,6026979,5997146,5936125,3348576,3534531,6028917,5999625,5936487,3347831,3533794
3453_original_2163a.png_e1590de3-62ac-456f-becc-2dd1e9127972.png,3453,80585,49086,55735,42015,100222,80585,49086,55735,42015,100222,80824,50858,57664,42988,100666,53636,51804,114166,96714,1543524,55003,58446,136003,103423,1552770,5933611,5899200,5883243,5893345,5922146,5933611,5899200,5883243,5893345,5922146,5935756,5901734,5885232,5895812,5924528,5944424,5907936,5868058,3326788,3509756,5956587,5920896,5870999,3323151,3506294
3453_original_1387a.png_4a2e3b8f-8a40-49aa-953d-7f76278f2584.png,3453,77297,46028,53707,39184,93082,77297,46028,53707,39184,93082,75937,48521,55600,41643,95109,50106,50388,111722,91775,1417170,52903,53598,125679,96074,1428448,5442625,5410118,5395451,5404728,5431680,5442625,5410118,5395451,5404728,5431680,5445541,5412733,5396828,5406971,5434771,5455492,5420484,5381254,3050407,3218138,5463125,5428892,5382685,3048364,3216198
3453_original_388a.png_5bdee5b9-e7a4-4cb4-a567-dadaf518f305.png,3453,34767,21873,24230,19659,42825,34767,21873,24230,19659,42825,36779,28585,30331,22163,45015,25665,26974,61636,40158,898711,24535,25174,54242,38058,893634,3471039,3457355,3452074,3455377,3466165,3471039,3457355,3452074,3455377,3466165,3477187,3463545,3456307,3460965,3472875,3482757,3468688,3448330,1949926,2057721,3478877,3464368,3447578,1951196,2058936
3453_original_266a.png_8725ddc6-1a2e-460f-814e-c8cde863c9ed.png,3453,71280,58824,67519,64210,73070,71280,58824,67519,64210,73070,77730,67548,69178,57980,71762,66605,67206,112323,110348,1428617,65395,70242,123176,115763,1438112,5465356,5437716,5419241,5430832,5457366,5465356,5437716,5419241,5430832,5457366,5473628,5445496,5425894,5437952,5466360,5478513,5452852,5408619,3054608,3223897,5484431,5459314,5410292,3052431,3221756
3453_original_379a.png_e9f7735d-e1eb-4636-88e0-08bfa2a1a6be.png,3453,82643,53780,63273,46001,95645,82643,53780,63273,46001,95645,78137,45145,54678,45385,94218,53602,55777,115565,94052,1597676,54361,57047,119526,95574,1599649,6155843,6123330,6106125,6117193,6145509,6155843,6123330,6106125,6117193,6145509,6148513,6114905,6100046,6109497,6137114,6165726,6130713,6088199,3450074,3639922,6168017,6133131,6088554,3449426,3639307
3453_original_229a (3).png_8a3fabb0-4b9b-45f4-9a24-8fc105d769d7.png,3453,39752,24995,28698,22220,47492,39752,24995,28698,22220,47492,40519,28891,31988,23914,49205,27207,28244,60120,44413,904316,28231,30226,66823,46561,908353,3497246,3481615,3474810,3479134,3491854,3497246,3481615,3474810,3479134,3491854,3500679,3484635,3476768,3481766,3495483,3504689,3487904,3468278,1963883,2072174,3508397,3491984,3469319,1962913,2071265
3453_original_2898a.png_949178e4-4b3f-4adb-8c74-f934dedfc2ce.png,3453,66785,41537,48388,37046,80375,66785,41537,48388,37046,80375,66221,38623,45879,36262,80115,43857,43534,89555,75239,1334783,47066,47422,103615,79593,1344624,5166505,5139745,5126160,5134922,5157805,5166505,5139745,5126160,5134922,5157805,5163323,5136183,5123699,5131598,5154281,5172893,5144030,5111861,2897499,3056925,5181236,5152664,5113617,2895581,3055122
3453_original_970a.png_e3437799-11ab-491c-8d94-7850fb0a3080.png,3453,63716,40885,44338,34134,80364,63716,40885,44338,34134,80364,62513,41038,44764,35137,80921,44444,44816,97997,81609,1277360,42972,44073,98031,80518,1274803,4903862,4876251,4862780,4871402,4894796,4903862,4876251,4862780,4871402,4894796,4904719,4877380,4863630,4872583,4895729,4916428,4888272,4851933,2748641,2900020,4916784,4888045,4851383,2748266,2899613
3453_original_970a.png_5a57d61a-7507-4f73-a417-2fd98ea9b068.png,3453,70450,62066,67261,56084,65715,70450,62066,67261,56084,65715,66262,58983,65612,63909,65307,63989,67100,112474,121187,1287697,67580,69425,114542,122803,1286832,4912026,4884024,4864291,4876390,4905213,4912026,4884024,4864291,4876390,4905213,4906846,4880203,4860646,4872907,4899791,4920309,4895760,4849198,2737399,2889207,4920946,4896565,4849386,2737235,2889012
3453_original_2163a.png_113fbcbd-372f-43e2-a66d-f3ea3e245d70.png,3453,80585,49086,55735,42015,100222,80585,49086,55735,42015,100222,80824,50858,57664,42988,100666,53636,51804,114166,96714,1543524,55003,58446,136003,103423,1552770,5933611,5899200,5883243,5893345,5922146,5933611,5899200,5883243,5893345,5922146,5935756,5901734,5885232,5895812,5924528,5944424,5907936,5868058,3326788,3509756,5956587,5920896,5870999,3323151,3506294
3453_original_388a.png_b8448968-2d11-4fc3-9075-8922eb4aef6d.png,3453,34767,21873,24230,19659,42825,34767,21873,24230,19659,42825,36779,28585,30331,22163,45015,25665,26974,61636,40158,898711,24535,25174,54242,38058,893634,3471039,3457355,3452074,3455377,3466165,3471039,3457355,3452074,3455377,3466165,3477187,3463545,3456307,3460965,3472875,3482757,3468688,3448330,1949926,2057721,3478877,3464368,3447578,1951196,2058936
3453_original_229a (3).png_df0b8c1e-ad6a-4f89-a8ce-9edc62c7b72e.png,3453,43157,30539,35718,30763,43497,43157,30539,35718,30763,43497,43989,36224,36921,29891,41446,37478,36092,61768,63007,904968,39902,39146,72068,65268,911124,3497259,3481801,3472878,3478589,3492439,3497259,3481801,3472878,3478589,3492439,3502461,3486158,3476685,3482443,3498102,3505204,3489788,3467082,1959713,2068162,3508930,3494040,3468598,1958562,2067088
3453_original_229a (3).png_99a28be3-049d-4d28-93aa-3a38d0beae56.png,3453,39752,24995,28698,22220,47492,39752,24995,28698,22220,47492,40519,28891,31988,23914,49205,27207,28244,60120,44413,904316,28231,30226,66823,46561,908353,3497246,3481615,3474810,3479134,3491854,3497246,3481615,3474810,3479134,3491854,3500679,3484635,3476768,3481766,3495483,3504689,3487904,3468278,1963883,2072174,3508397,3491984,3469319,1962913,2071265
3453_original_5024a.png_5f9a766c-31d5-4165-ba9a-b98dc464465b.png,3453,99380,86297,85234,70630,96604,99380,86297,85234,70630,96604,95920,79265,90300,80919,98476,90554,93892,151627,152999,1567511,91587,94495,150409,154678,1569692,5960752,5920173,5892908,5909470,5950512,5960752,5920173,5892908,5909470,5950512,5951418,5913701,5888720,5904447,5940740,5971136,5934940,5872855,3317409,3501011,5971403,5936201,5873871,3317348,3500962
3453_original_970a.png_56766fb2-73d5-413b-9bd2-305ee953edd6.png,3453,63716,40885,44338,34134,80364,63716,40885,44338,34134,80364,62513,41038,44764,35137,80921,44444,44816,97997,81609,1277360,42972,44073,98031,80518,1274803,4903862,4876251,4862780,4871402,4894796,4903862,4876251,4862780,4871402,4894796,4904719,4877380,4863630,4872583,4895729,4916428,4888272,4851933,2748641,2900020,4916784,4888045,4851383,2748266,2899613
3453_original_5024a.png_5aadf11f-fea0-4093-932b-bc0829a393cd.png,3453,86159,52024,61919,46888,104910,86159,52024,61919,46888,104910,87209,52802,62258,46356,103914,56719,58930,132350,105689,1556246,56800,57953,130518,105161,1558371,5956457,5919320,5901845,5912954,5944138,5956457,5919320,5901845,5912954,5944138,5956819,5919610,5902014,5913114,5944568,5973797,5934150,5885492,3335405,3518810,5972848,5934185,5885952,3335783,3519197
3453_original_224a.png_1c0ce88e-23ef-4865-86a3-ebe89ea3b977.png,3453,35476,22494,24497,20025,46326,35476,22494,24497,20025,46326,39558,30866,31977,21941,47844,25343,26959,60563,44526,874403,26178,27723,65010,45368,877145,3373022,3357656,3351669,3355443,3367548,3373022,3357656,3351669,3355443,3367548,3380172,3364950,3356803,3362029,3375386,3382691,3366867,3347805,1894698,1999281,3385376,3369507,3347874,1893834,1998433
3453_original_970a.png_9a1f7679-cd08-41d1-9f9d-8c56c33c75dc.png,3453,63716,40885,44338,34134,80364,63716,40885,44338,34134,80364,62513,41038,44764,35137,80921,44444,44816,97997,81609,1277360,42972,44073,98031,80518,1274803,4903862,4876251,4862780,4871402,4894796,4903862,4876251,4862780,4871402,4894796,4904719,4877380,4863630,4872583,4895729,4916428,4888272,4851933,2748641,2900020,4916784,4888045,4851383,2748266,2899613
3453_original_5024a.png_ab9b7e76-af78-4dbc-ad48-bd0a2c843d23.png,3453,86159,52024,61919,46888,104910,86159,52024,61919,46888,104910,87209,52802,62258,46356,103914,56719,58930,132350,105689,1556246,56800,57953,130518,105161,1558371,5956457,5919320,5901845,5912954,5944138,5956457,5919320,5901845,5912954,5944138,5956819,5919610,5902014,5913114,5944568,5973797,5934150,5885492,3335405,3518810,5972848,5934185,5885952,3335783,3519197
3453_original_229a (3).png_e650666e-11b7-4846-8938-cae3ced1aa29.png,3453,41873,30983,35318,31578,43728,41873,30983,35318,31578,43728,43984,34863,37504,29129,42897,37666,36535,60945,59695,904204,39739,39524,67465,66142,907917,3497501,3482061,3473246,3478906,3492620,3497501,3482061,3473246,3478906,3492620,3502778,3486385,3476906,3482797,3498319,3505490,3490115,3467339,1959733,2068192,3509097,3493982,3468211,1958762,2067265
3453_original_1387a.png_c8f54bfd-34ae-4435-ba22-db16e90c0a15.png,3453,89675,79950,76641,66660,80146,89675,79950,76641,66660,80146,80987,75065,77168,79550,81857,79408,79622,129656,139908,1435007,80705,85298,143948,140963,1437973,5454033,5419528,5394767,5409876,5445186,5454033,5419528,5394767,5409876,5445186,5448609,5416925,5393360,5407826,5440013,5462572,5431796,5377744,3037512,3205779,5467755,5438110,5379672,3035565,3203925
3453_original_2163a.png_8fe7529e-db70-405e-a470-d0765d3e77ef.png,3453,80585,49086,55735,42015,100222,80585,49086,55735,42015,100222,80824,50858,57664,42988,100666,53636,51804,114166,96714,1543524,55003,58446,136003,103423,1552770,5933611,5899200,5883243,5893345,5922146,5933611,5899200,5883243,5893345,5922146,5935756,5901734,5885232,5895812,5924528,5944424,5907936,5868058,3326788,3509756,5956587,5920896,5870999,3323151,3506294
3453_original_5024a.png_0a915890-f12f-45f9-bad9-743294d3c009.png,3453,86159,52024,61919,46888,104910,86159,52024,61919,46888,104910,87209,52802,62258,46356,103914,56719,58930,132350,105689,1556246,56800,57953,130518,105161,1558371,5956457,5919320,5901845,5912954,5944138,5956457,5919320,5901845,5912954,5944138,5956819,5919610,5902014,5913114,5944568,5973797,5934150,5885492,3335405,3518810,5972848,5934185,5885952,3335783,3519197
3453_original_1387a.png_22ac8e08-c3c5-4ef0-9f12-de03607b2b2c.png,3453,77297,46028,53707,39184,93082,77297,46028,53707,39184,93082,75937,48521,55600,41643,95109,50106,50388,111722,91775,1417170,52903,53598,125679,96074,1428448,5442625,5410118,5395451,5404728,5431680,5442625,5410118,5395451,5404728,5431680,5445541,5412733,5396828,5406971,5434771,5455492,5420484,5381254,3050407,3218138,5463125,5428892,5382685,3048364,3216198
3453_original_2898a.png_f70ed26f-7e1a-4abd-90ee-25acfe1043bc.png,3453,66785,41537,48388,37046,80375,66785,41537,48388,37046,80375,66221,38623,45879,36262,80115,43857,43534,89555,75239,1334783,47066,47422,103615,79593,1344624,5166505,5139745,5126160,5134922,5157805,5166505,5139745,5126160,5134922,5157805,5163323,5136183,5123699,5131598,5154281,5172893,5144030,5111861,2897499,3056925,5181236,5152664,5113617,2895581,3055122
3453_original_970a.png_13308676-f092-4dd1-9c31-ee83871f794b.png,3453,65947,52455,61955,59738,70289,65947,52455,61955,59738,70289,72987,59566,68128,55639,67992,68603,64655,110638,107748,1281517,63301,67306,115419,117105,1284863,4897667,4870165,4851453,4863370,4889881,4897667,4870165,4851453,4863370,4889881,4905183,4877264,4857514,4869915,4897978,4912031,4886291,4840704,2734076,2885465,4913513,4888040,4841841,2733989,2885449
3453_original_1387a.png_f304834b-e5d5-4d2c-9568-81cd07f090ad.png,3453,77297,46028,53707,39184,93082,77297,46028,53707,39184,93082,75937,48521,55600,41643,95109,50106,50388,111722,91775,1417170,52903,53598,125679,96074,1428448,5442625,5410118,5395451,5404728,5431680,5442625,5410118,5395451,5404728,5431680,5445541,5412733,5396828,5406971,5434771,5455492,5420484,5381254,3050407,3218138,5463125,5428892,5382685,3048364,3216198
3453_original_970a.png_073237cc-1d36-41c5-8cc9-ccc3493b1747.png,3453,63716,40885,44338,34134,80364,63716,40885,44338,34134,80364,62513,41038,44764,35137,80921,44444,44816,97997,81609,1277360,42972,44073,98031,80518,1274803,4903862,4876251,4862780,4871402,4894796,4903862,4876251,4862780,4871402,4894796,4904719,4877380,4863630,4872583,4895729,4916428,4888272,4851933,2748641,2900020,4916784,4888045,4851383,2748266,2899613
3453_original_1094a.png_a7e4c0a1-d33a-440b-98c4-e10f758e6355.png,3453,69412,40941,46356,34521,83303,69412,40941,46356,34521,83303,67599,45444,50959,38602,86700,45856,47604,105960,81803,1415282,46022,48696,108262,81767,1415713,5448524,5419721,5406886,5414973,5438795,5448524,5419721,5406886,5414973,5438795,5454369,5425842,5411105,5420630,5445170,5464028,5433750,5396126,3056407,3224788,5465456,5435452,5396734,3056167,3224559
3453_original_1094a.png_98840f7c-1e1c-438c-96e9-04c1a3966633.png,3453,69412,40941,46356,34521,83303,69412,40941,46356,34521,83303,67599,45444,50959,38602,86700,45856,47604,105960,81803,1415282,46022,48696,108262,81767,1415713,5448524,5419721,5406886,5414973,5438795,5448524,5419721,5406886,5414973,5438795,5454369,5425842,5411105,5420630,5445170,5464028,5433750,5396126,3056407,3224788,5465456,5435452,5396734,3056167,3224559
3453_original_626a.png_f72f39bb-a07a-4d5b-9cb5-34c34e7d0d74.png,3453,77960,74699,77360,76877,83138,77960,74699,77360,76877,83138,87124,76727,82411,69638,81650,79667,82750,133896,131907,1568543,77569,83572,140810,135730,1568128,6000452,5968601,5945162,5959713,5991840,6000452,5968601,5945162,5959713,5991840,6006786,5971909,5946399,5961922,5998088,6015271,5985074,5929166,3348027,3533585,6018395,5988836,5930084,3347132,3532668
3453_original_379a.png_6eedbf9e-9c50-4c77-a9c8-e72bd7c81cc0.png,3453,82643,53780,63273,46001,95645,82643,53780,63273,46001,95645,78137,45145,54678,45385,94218,53602,55777,115565,94052,1597676,54361,57047,119526,95574,1599649,6155843,6123330,6106125,6117193,6145509,6155843,6123330,6106125,6117193,6145509,6148513,6114905,6100046,6109497,6137114,6165726,6130713,6088199,3450074,3639922,6168017,6133131,6088554,3449426,3639307
3453_original_229a (3).png_2a6a358d-decf-43bc-85aa-222c64ccfe00.png,3453,47958,34318,40238,36365,44785,47958,34318,40238,36365,44785,47211,37150,41667,38259,54005,44708,46566,78780,83065,917863,45313,48343,91626,92443,920486,3502290,3485004,3471444,3480905,3497569,3502290,3485004,3471444,3480905,3497569,3495799,3471064,3459431,3466883,3487585,3507954,3490894,3456782,1952357,2060479,3511223,3495077,3458136,1951519,2059686
3453_original_5024a.png_08fbb132-f86d-4686-8a14-bd1ed829b375.png,3453,86159,52024,61919,46888,104910,86159,52024,61919,46888,104910,87209,52802,62258,46356,103914,56719,58930,132350,105689,1556246,56800,57953,130518,105161,1558371,5956457,5919320,5901845,5912954,5944138,5956457,5919320,5901845,5912954,5944138,5956819,5919610,5902014,5913114,5944568,5973797,5934150,5885492,3335405,3518810,5972848,5934185,5885952,3335783,3519197
3453_original_626a.png_26bdb1a8-007e-4d68-8f4d-ca6bcec00405.png,3453,77660,52033,57954,41671,92852,77660,52033,57954,41671,92852,73358,47336,53573,42529,93585,51550,52686,121163,92572,1563209,50540,53633,124691,93868,1563007,6003444,5971659,5955754,5965993,5993004,6003444,5971659,5955754,5965993,5993004,6000020,5967152,5952311,5961875,5988873,6016254,5982576,5939199,3364050,3549369,6018186,5984737,5939577,3363164,3548505
3453_original_1387a.png_ce26cf5c-9cac-4620-91b4-e5df3bacafe5.png,3453,77297,46028,53707,39184,93082,77297,46028,53707,39184,93082,75937,48521,55600,41643,95109,50106,50388,111722,91775,1417170,52903,53598,125679,96074,1428448,5442625,5410118,5395451,5404728,5431680,5442625,5410118,5395451,5404728,5431680,5445541,5412733,5396828,5406971,5434771,5455492,5420484,5381254,3050407,3218138,5463125,5428892,5382685,3048364,3216198
3453_original_1094a.png_be1afe23-2080-414f-8d5f-0622a3341778.png,3453,69412,40941,46356,34521,83303,69412,40941,46356,34521,83303,67599,45444,50959,38602,86700,45856,47604,105960,81803,1415282,46022,48696,108262,81767,1415713,5448524,5419721,5406886,5414973,5438795,5448524,5419721,5406886,5414973,5438795,5454369,5425842,5411105,5420630,5445170,5464028,5433750,5396126,3056407,3224788,5465456,5435452,5396734,3056167,3224559
3453_original_379a.png_1e5c7615-d047-4a09-b9a3-75ae491a6fae.png,3453,92493,78847,86341,66264,86781,92493,78847,86341,66264,86781,88463,67159,72549,68239,91965,79753,80039,134041,135301,1610738,85031,84202,147543,139451,1614044,6157723,6123541,6098831,6114274,6148985,6157723,6123541,6098831,6114274,6148985,6143947,6109563,6088939,6101877,6133705,6164065,6131601,6077955,3433355,3623444,6166597,6135078,6078743,3432381,3622540
3453_original_5024a.png_8bf86ba2-d7ae-4001-a393-184427efeac6.png,3453,86159,52024,61919,46888,104910,86159,52024,61919,46888,104910,87209,52802,62258,46356,103914,56719,58930,132350,105689,1556246,56800,57953,130518,105161,1558371,5956457,5919320,5901845,5912954,5944138,5956457,5919320,5901845,5912954,5944138,5956819,5919610,5902014,5913114,5944568,5973797,5934150,5885492,3335405,3518810,5972848,5934185,5885952,3335783,3519197
3453_original_224a.png_a8a52f8b-36ca-49cc-8735-22f47ea4617a.png,3453,47150,39857,40136,35603,42901,47150,39857,40136,35603,42901,45060,42253,44965,42970,45038,44276,46997,63339,62878,877581,44677,48466,77109,66705,881777,3378686,3361169,3349080,3356399,3374309,3378686,3361169,3349080,3356399,3374309,3379084,3363335,3351081,3358756,3375040,3383360,3368219,3342071,1887256,1991907,3387043,3372396,3342931,1885787,1990465
3453_original_224a.png_390b1d1e-9c34-4e78-8035-6147e8988b2e.png,3453,46510,41750,44263,41305,43236,46510,41750,44263,41305,43236,45838,45066,48999,46145,47817,44974,54324,75518,103184,887187,46319,55442,78442,104901,886021,3380190,3362878,3349053,3358051,3375740,3380190,3362878,3349053,3358051,3375740,3380500,3360984,3347295,3355943,3375073,3387076,3371796,3339704,1884258,1988879,3388605,3373598,3339744,1882993,1987613
3453_original_626a.png_4f2bfd52-a1bc-4635-a349-5f5509e77c07.png,3453,77660,52033,57954,41671,92852,77660,52033,57954,41671,92852,73358,47336,53573,42529,93585,51550,52686,121163,92572,1563209,50540,53633,124691,93868,1563007,6003444,5971659,5955754,5965993,5993004,6003444,5971659,5955754,5965993,5993004,6000020,5967152,5952311,5961875,5988873,6016254,5982576,5939199,3364050,3549369,6018186,5984737,5939577,3363164,3548505
3453_original_388a.png_73b216b8-c791-4fa3-9347-ca6a1c53a667.png,3453,42566,30705,32025,31727,47957,42566,30705,32025,31727,47957,41893,34497,40975,37234,48657,41183,44841,96395,78526,918207,37185,43175,83314,76527,915274,3468240,3445409,3434463,3441913,3460473,3468240,3445409,3434463,3441913,3460473,3473217,3451093,3438269,3447434,3465917,3486067,3470737,3428835,1934506,2041737,3482277,3466685,3427766,1935829,2043082
